product_name,description,price,stock,category,brand,color,weight
Teléfono IP Grandstream GRP2601,"Teléfono IP básico de 2 líneas, 1 cuenta SIP, pantalla LCD de 132x48 píxeles, sin soporte PoE, ideal para oficina.",780.0,50,Telefonía IP,Grandstream,Negro,0.8 kg
Teléfono IP Grandstream GRP2601P,"Teléfono IP básico de 2 líneas, 1 cuenta SIP, pantalla LCD, soporte PoE para alimentación por red.",890.0,45,Telefonía IP,Grandstream,Negro,0.8 kg
Teléfono IP Grandstream GRP2602,"Teléfono IP de 2 líneas, 4 cuentas SIP, pantalla LCD retroiluminada de 2.21 pulgadas, audio HD.",950.0,40,Telefonía IP,Grandstream,Negro,0.82 kg
Teléfono IP Grandstream GRP2602P,"Teléfono IP de 2 líneas, 4 cuentas SIP, pantalla retroiluminada, soporte PoE integrado.",1050.0,60,Telefonía IP,Grandstream,Negro,0.82 kg
Teléfono IP Grandstream GRP2602W,Teléfono IP de 2 líneas con soporte Wi-Fi de doble banda integrado para conexión inalámbrica.,1390.0,30,Telefonía IP,Grandstream,Negro,0.85 kg
Teléfono IP Grandstream GRP2603,"Teléfono IP de 3 líneas, 6 cuentas SIP, pantalla LCD retroiluminada, puertos Gigabit Ethernet duales.",1150.0,35,Telefonía IP,Grandstream,Negro,0.83 kg
Teléfono IP Grandstream GRP2604,"Teléfono IP de 3 líneas, 6 cuentas SIP, 10 teclas BLF de marcación rápida, puertos Gigabit Ethernet.",1350.0,25,Telefonía IP,Grandstream,Negro,0.86 kg
Teléfono IP Grandstream GRP2604P,"Teléfono IP de 3 líneas, 6 cuentas SIP, 10 teclas BLF, soporte PoE y puertos Gigabit duales.",1490.0,30,Telefonía IP,Grandstream,Negro,0.86 kg
Teléfono IP Grandstream GRP2612,"Teléfono IP de gama media con 4 líneas, 2 cuentas SIP, pantalla color de 2.4 pulgadas, sin PoE.",1320.0,20,Telefonía IP,Grandstream,Negro,0.9 kg
Teléfono IP Grandstream GRP2612P,"Teléfono IP de gama media con 4 líneas, pantalla color de 2.4 pulgadas y PoE integrado.",1450.0,35,Telefonía IP,Grandstream,Negro,0.9 kg
Teléfono IP Grandstream GRP2612W,Teléfono IP de 4 líneas con Wi-Fi de doble banda y pantalla color de 2.4 pulgadas.,1780.0,25,Telefonía IP,Grandstream,Negro,0.92 kg
Teléfono IP Grandstream GRP2613,"Teléfono IP profesional de 6 líneas, 3 cuentas SIP, pantalla a color de 2.8 pulgadas, puertos Gigabit.",1850.0,20,Telefonía IP,Grandstream,Negro,0.95 kg
Teléfono IP Grandstream GRP2614,"Teléfono IP profesional con pantallas color duales, Wi-Fi de doble banda y Bluetooth integrados.",2450.0,15,Telefonía IP,Grandstream,Negro,1.05 kg
Teléfono IP Grandstream GRP2615,"Teléfono IP carrier-grade de 10 líneas, Wi-Fi y Bluetooth integrados, pantalla a color de 4.3 pulgadas y PoE.",3190.0,18,Telefonía IP,Grandstream,Negro,1.1 kg
Teléfono IP Grandstream GRP2616,Teléfono IP profesional de 6 líneas con pantallas duales y Wi-Fi/Bluetooth integrados de fábrica.,2850.0,12,Telefonía IP,Grandstream,Negro,1.08 kg
Teléfono IP Grandstream GRP2624,"Teléfono IP profesional de 8 líneas, Wi-Fi de doble banda, Bluetooth y soporte para módulo GBX20.",2980.0,15,Telefonía IP,Grandstream,Negro,1.0 kg
Teléfono IP Grandstream GRP2634,"Teléfono IP profesional de 8 líneas, Wi-Fi de doble banda, Bluetooth y 10 teclas BLF físicas.",3100.0,14,Telefonía IP,Grandstream,Negro,1.05 kg
Teléfono IP Grandstream GRP2636,Teléfono IP carrier-grade de 12 líneas con pantalla a color de 4.3 pulgadas y 24 teclas BLF virtuales.,3750.0,10,Telefonía IP,Grandstream,Negro,1.15 kg
Teléfono IP Grandstream GRP2650,"Teléfono IP profesional de 14 líneas, pantalla a color de 5.0 pulgadas, Wi-Fi y Bluetooth.",4200.0,8,Telefonía IP,Grandstream,Negro,1.2 kg
Teléfono IP Grandstream GRP2670,Teléfono IP ejecutivo carrier-grade con pantalla táctil capacitiva de 7 pulgadas y hasta 12 líneas.,4990.0,5,Telefonía IP,Grandstream,Negro,1.25 kg
Teléfono IP Grandstream GXP1610,"Teléfono IP básico para pequeñas empresas con 1 cuenta SIP, 2 líneas y pantalla LCD de 132x48.",690.0,50,Telefonía IP,Grandstream,Negro,0.75 kg
Teléfono IP Grandstream GXP1615,Teléfono IP básico de 1 cuenta SIP y 2 líneas con PoE integrado para fácil instalación.,790.0,48,Telefonía IP,Grandstream,Negro,0.75 kg
Teléfono IP Grandstream GXP1620,"Teléfono IP básico de 2 cuentas SIP y 2 líneas, pantalla retroiluminada de 132x48.",890.0,30,Telefonía IP,Grandstream,Negro,0.78 kg
Teléfono IP Grandstream GXP1625,Teléfono IP básico de 2 cuentas SIP y 2 líneas con PoE integrado y pantalla retroiluminada.,990.0,40,Telefonía IP,Grandstream,Negro,0.78 kg
Teléfono IP Grandstream GXP1628,"Teléfono IP Gigabit básico de 2 cuentas SIP y 2 líneas, 8 teclas de marcación rápida BLF y PoE.",1490.0,18,Telefonía IP,Grandstream,Negro,0.8 kg
Teléfono IP Grandstream GXP1630,"Teléfono IP Gigabit básico de 3 cuentas SIP y 3 líneas, 8 teclas BLF y PoE integrado.",1690.0,15,Telefonía IP,Grandstream,Negro,0.81 kg
Teléfono IP Grandstream GXP2130,"Teléfono IP empresarial de 3 líneas, pantalla LCD a color de 2.8 pulgadas, 8 teclas BLF y PoE.",1890.0,12,Telefonía IP,Grandstream,Negro,0.95 kg
Teléfono IP Grandstream GXP2135,"Teléfono IP empresarial de 8 líneas, pantalla a color de 2.8 pulgadas, Gigabit, Bluetooth y PoE.",2150.0,15,Telefonía IP,Grandstream,Negro,0.92 kg
Teléfono IP Grandstream GXP2140,"Teléfono IP empresarial de 4 líneas con pantalla color de 4.3 pulgadas, Gigabit y soporte de módulos.",2490.0,10,Telefonía IP,Grandstream,Negro,1.04 kg
Teléfono IP Grandstream GXP2160,"Teléfono IP empresarial de 6 líneas con pantalla a color de 4.3 pulgadas, 24 teclas físicas BLF.",2890.0,8,Telefonía IP,Grandstream,Negro,1.1 kg
Teléfono IP Grandstream GXP2170,"Teléfono IP ejecutivo de 12 líneas, pantalla color de 4.3 pulgadas, 48 teclas virtuales BLF.",3190.0,22,Telefonía IP,Grandstream,Negro,1.05 kg
Videoteléfono IP Grandstream GXV3350,Videoteléfono inteligente para Android con cámara integrada de 1MP y pantalla de 5.0 pulgadas.,4650.0,6,Telefonía IP,Grandstream,Negro,1.2 kg
Videoteléfono IP Grandstream GXV3370,"Videoteléfono IP inteligente con pantalla táctil de 7 pulgadas, cámara HD y sistema operativo Android.",5890.0,5,Telefonía IP,Grandstream,Negro,1.4 kg
Videoteléfono IP Grandstream GXV3380,"Videoteléfono IP ejecutivo con pantalla táctil IPS de 8 pulgadas, cámara de 2MP y soporte para Android 7.",7900.0,3,Telefonía IP,Grandstream,Negro,1.6 kg
Videoteléfono IP Grandstream GXV3450,"Videoteléfono inteligente de alta gama con Android 11, pantalla táctil de 5 pulgadas y cámara HD.",5490.0,8,Telefonía IP,Grandstream,Negro,1.18 kg
Videoteléfono IP Grandstream GXV3470,"Videoteléfono inteligente premium con Android 11, pantalla táctil de 7 pulgadas y cámara CMOS de 2MP.",6800.0,4,Telefonía IP,Grandstream,Negro,1.35 kg
Teléfono Wi-Fi Portátil Grandstream WP810,"Teléfono IP inalámbrico con Wi-Fi de doble banda integrado, audio HD, hasta 6 horas de conversación.",2100.0,20,Telefonía IP,Grandstream,Negro,0.4 kg
Teléfono Wi-Fi Portátil Grandstream WP820,"Teléfono IP inalámbrico con Wi-Fi de doble banda, Bluetooth, pantalla a color y botón PTT.",3100.0,15,Telefonía IP,Grandstream,Negro,0.43 kg
Teléfono Wi-Fi Portátil Grandstream WP822,Teléfono IP inalámbrico empresarial con Wi-Fi de doble banda y batería de larga duración (8h conv).,2700.0,18,Telefonía IP,Grandstream,Negro,0.41 kg
Teléfono Wi-Fi Portátil Grandstream WP825,Teléfono IP inalámbrico rugerizado con Wi-Fi de doble banda y protección IP67 contra polvo y agua.,3890.0,10,Telefonía IP,Grandstream,Negro,0.45 kg
Teléfono Inalámbrico DECT Grandstream DP720,"Auricular inalámbrico DECT para conmutadores IP, pantalla a color, audio HD y conector de 3.5mm.",1090.0,25,Telefonía IP,Grandstream,Negro,0.32 kg
Teléfono Inalámbrico DECT Grandstream DP722,Auricular inalámbrico DECT de gama media con pantalla a color de 1.8 pulgadas y audio HD.,1250.0,20,Telefonía IP,Grandstream,Negro,0.33 kg
Teléfono Inalámbrico DECT Grandstream DP730,"Auricular inalámbrico DECT de alta gama, pantalla a color de 2.4 pulgadas, botón PTT y sensor de movimiento.",1890.0,12,Telefonía IP,Grandstream,Negro,0.36 kg
Estación Base DECT Grandstream DP750,"Estación base DECT VoIP para hasta 5 auriculares DP720, soporta 10 cuentas SIP y 5 llamadas simultáneas.",1190.0,18,Telefonía IP,Grandstream,Negro,0.45 kg
Estación Base DECT Grandstream DP752,"Estación base DECT VoIP de largo alcance para hasta 5 auriculares DECT, con botón de emparejamiento físico.",1390.0,15,Telefonía IP,Grandstream,Negro,0.46 kg
Conmutador IP Grandstream UCM6301,"Conmutador PBX IP empresarial para hasta 500 usuarios, 1 puerto FXS y 1 puerto FXO integrados.",7900.0,6,Conmutadores IP,Grandstream,Gris,1.5 kg
Conmutador IP Grandstream UCM6302,"Conmutador PBX IP empresarial para hasta 1000 usuarios, 2 puertos FXS y 2 puertos FXO integrados.",11500.0,5,Conmutadores IP,Grandstream,Gris,1.6 kg
Conmutador IP Grandstream UCM6304,"Conmutador PBX IP empresarial para hasta 2000 usuarios, 4 puertos FXS y 4 puertos FXO integrados.",28900.0,3,Conmutadores IP,Grandstream,Gris,2.8 kg
Conmutador IP Grandstream UCM6308,"Conmutador PBX IP empresarial de alto rendimiento para hasta 3000 usuarios, 8 FXS y 8 FXO.",48900.0,2,Conmutadores IP,Grandstream,Gris,3.5 kg
Conmutador IP Grandstream UCM6300A,"Conmutador PBX IP serie UCM6300 Audio, soporta hasta 250 usuarios, llamadas de solo audio.",4990.0,10,Conmutadores IP,Grandstream,Gris,1.3 kg
Conmutador IP Grandstream UCM6302A,"Conmutador PBX IP serie UCM6300 Audio, soporta hasta 500 usuarios, 2 puertos FXS y 2 FXO.",7690.0,8,Conmutadores IP,Grandstream,Gris,1.4 kg
Conmutador IP Grandstream UCM6304A,"Conmutador PBX IP serie UCM6300 Audio, soporta hasta 1000 usuarios, 4 puertos FXS y 4 FXO.",16900.0,4,Conmutadores IP,Grandstream,Gris,2.2 kg
Conmutador IP Grandstream UCM6308A,"Conmutador PBX IP serie UCM6300 Audio, soporta hasta 1500 usuarios, 8 puertos FXS y 8 FXO.",31500.0,2,Conmutadores IP,Grandstream,Gris,3.0 kg
Conmutador IP Grandstream UCM6202,"Conmutador PBX IP empresarial heredado, soporta hasta 500 usuarios y 30 llamadas simultáneas.",6800.0,4,Conmutadores IP,Grandstream,Negro,1.2 kg
Conmutador IP Grandstream UCM6204,"Conmutador PBX IP empresarial heredado, 4 puertos FXO, soporta hasta 500 usuarios.",9900.0,3,Conmutadores IP,Grandstream,Negro,1.3 kg
Adaptador ATA Grandstream HT801,Adaptador de teléfono analógico de 1 puerto FXS para conectar teléfono común a red VoIP.,790.0,35,Gateways/ATAs,Grandstream,Negro,0.3 kg
Adaptador ATA Grandstream HT802,"Adaptador de teléfono analógico de 2 puertos FXS, enrutador NAT integrado, tamaño compacto.",890.0,40,Gateways/ATAs,Grandstream,Negro,0.32 kg
Adaptador ATA Grandstream HT812,Adaptador de teléfono analógico de 2 puertos FXS con enrutador NAT Gigabit integrado.,1150.0,30,Gateways/ATAs,Grandstream,Negro,0.35 kg
Adaptador ATA Grandstream HT814,Adaptador de teléfono analógico con 4 puertos FXS y enrutador Gigabit NAT integrado.,1980.0,15,Gateways/ATAs,Grandstream,Negro,0.45 kg
Adaptador ATA Grandstream HT818,Adaptador de teléfono analógico de alta densidad con 8 puertos FXS y 2 puertos Gigabit.,3650.0,10,Gateways/ATAs,Grandstream,Negro,0.6 kg
Gateway VoIP Grandstream GXW4004,"Gateway analógico FXS de 4 puertos, ideal para integrar faxes y líneas analógicas a conmutadores IP.",2350.0,12,Gateways/ATAs,Grandstream,Negro,0.8 kg
